Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITC,EQ,15-May-17,274.95,275.9,278.9,275.5,278.5,277.95,277.78,5462855,1517476658,52501,4128324,75.57
ITC,EQ,16-May-17,277.95,278.5,284.3,278,283,283.45,280.93,11204308,3147583220,98347,8307567,74.15
ITC,EQ,17-May-17,283.45,284.1,284.4,279.25,281.5,281.65,281.56,8297700,2336261278,99107,5924804,71.4
ITC,EQ,18-May-17,281.65,278,281.05,277.05,277.65,277.9,278.49,7924261,2206821556,47830,5434449,68.58
ITC,EQ,19-May-17,277.9,282.25,295.65,281.95,286.4,286.2,290.08,35724128,10362681117,248579,19137631,53.57
ITC,EQ,22-May-17,286.2,292.45,304.8,291.3,303,303.6,299.75,35939315,10772810200,250048,17079600,47.52
ITC,EQ,23-May-17,303.6,301.9,303.9,298.25,300,300.15,300.39,19784738,5943114460,127039,12142585,61.37
ITC,EQ,24-May-17,300.15,300,301.95,297.9,300.1,299.9,299.95,9457848,2836836734,87850,6078221,64.27
ITC,EQ,25-May-17,299.9,300,304.7,295.35,301,300.05,300,22769975,6830907928,110127,16464978,72.31
ITC,EQ,26-May-17,300.05,302,313.8,299.55,306.1,309.1,305.48,21742467,6641979714,155758,8123024,37.36
ITC,EQ,29-May-17,309.1,304,319.85,303.5,315.35,315.85,315.57,19665146,6205697176,167423,9323137,47.41
ITC,EQ,30-May-17,315.85,312.9,315.2,310.05,311.5,311.45,311.96,8547146,2666364621,72697,5731236,67.05
ITC,EQ,31-May-17,311.45,311.45,313.4,307,312.85,311.8,310.49,12308066,3821533004,124108,8403582,68.28
ITC,EQ,1-Jun-17,311.8,312,316.75,310.8,315,314.2,315.1,8253042,2600519267,91321,4704937,57.01
ITC,EQ,2-Jun-17,314.2,316.1,319.9,315.2,319.3,319.2,317.86,11073749,3519851648,65848,7008906,63.29
ITC,EQ,5-Jun-17,319.2,315,318.25,313.3,317.5,317.45,316.83,9482413,3004339372,69774,6130621,64.65
ITC,EQ,6-Jun-17,317.45,317.5,319,309.3,311.3,311.05,311.28,9841205,3063364368,87515,6116482,62.15
ITC,EQ,7-Jun-17,311.05,311.3,314.75,310.35,311.7,312.25,313.15,11534375,3611978436,91062,8921486,77.35
ITC,EQ,8-Jun-17,312.25,313,313.25,309.4,311.2,311.6,310.82,7781415,2418657431,111593,5953664,76.51
ITC,EQ,9-Jun-17,311.6,310.75,312.6,304.7,305.7,306,307.4,10065468,3094129457,103882,5925048,58.87
ITC,EQ,12-Jun-17,306,307,307.5,302.5,304.25,304.4,304.65,6266299,1909038216,50916,3786983,60.43
ITC,EQ,13-Jun-17,304.4,305.05,306,302.2,305.1,305.25,304.21,5107002,1553584992,69676,3255923,63.75
ITC,EQ,14-Jun-17,305.25,304.95,306,299.15,299.8,299.85,300.77,14574048,4383430596,84216,11919899,81.79
ITC,EQ,15-Jun-17,299.85,302.95,302.95,299.5,302.55,301.9,300.84,7427656,2234554419,68964,4842397,65.19
ITC,EQ,16-Jun-17,301.9,302.5,309.6,302.5,305.85,306.8,307.05,12323676,3784009936,84898,7897294,64.08
ITC,EQ,19-Jun-17,306.8,309,311.85,308.1,310.55,310.9,310.3,6982651,2166703540,54015,4470906,64.03
ITC,EQ,20-Jun-17,310.9,312,312.2,308.1,309.2,308.7,309.84,8260929,2559595434,113970,6339511,76.74
