Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PVR,EQ,15-May-17,1526.2,1532.35,1538.15,1515.45,1520,1524.95,1526.51,103693,158288331.6,7359,54518,52.58
PVR,EQ,16-May-17,1524.95,1526.7,1545,1526.65,1533.25,1539,1538.04,86547,133112885.8,6332,39020,45.09
PVR,EQ,17-May-17,1539,1539.7,1552.85,1526.05,1527,1530.3,1538.01,73902,113662177.5,4665,21303,28.83
PVR,EQ,18-May-17,1530.3,1525,1539.35,1502.2,1514.9,1515.05,1519.68,82125,124803466.6,2903,38796,47.24
PVR,EQ,19-May-17,1515.05,1515,1534.5,1502.2,1517.65,1513.55,1513.25,114890,173856728.5,9495,54764,47.67
PVR,EQ,22-May-17,1513.55,1498.45,1522,1397.05,1492,1481,1473.33,449726,662596699.1,29357,179657,39.95
PVR,EQ,23-May-17,1481,1492,1515,1445.5,1497,1496.45,1476.7,318619,470503326.4,9260,179663,56.39
PVR,EQ,24-May-17,1496.45,1490,1530.05,1444.15,1452,1450,1484.3,107642,159772571,5923,33688,31.3
PVR,EQ,25-May-17,1450,1450,1474.75,1439.05,1474.75,1461.15,1456.94,114328,166568939.3,3930,53461,46.76
PVR,EQ,26-May-17,1461.15,1463.1,1498,1451,1475,1471.5,1473.7,129323,190583763.1,7326,37335,28.87
PVR,EQ,29-May-17,1471.5,1460.05,1485.2,1460.05,1470.15,1472.85,1470.23,82565,121389935.6,2761,37285,45.16
PVR,EQ,30-May-17,1472.85,1470,1487.9,1425.05,1447.5,1447.9,1455.43,205277,298765989.6,9267,25865,12.6
PVR,EQ,31-May-17,1447.9,1440.1,1518,1440.1,1449.05,1454.95,1477.74,225319,332962607,14074,77117,34.23
PVR,EQ,1-Jun-17,1454.95,1452,1469.7,1452,1455,1455.7,1459.95,59522,86899074.3,3090,23335,39.2
PVR,EQ,2-Jun-17,1455.7,1457.3,1466.9,1452.35,1460,1457.8,1462.45,55880,81721545.75,2865,29238,52.32
PVR,EQ,5-Jun-17,1457.8,1458.9,1464.65,1440,1444,1442.25,1452.1,102733,149178094.5,4617,51065,49.71
PVR,EQ,6-Jun-17,1442.25,1445,1447.45,1378.85,1390,1392.85,1411.78,210916,297766684.7,16465,89785,42.57
PVR,EQ,7-Jun-17,1392.85,1391.1,1409,1387,1400,1400.7,1400.17,165824,232182355,7911,70517,42.53
PVR,EQ,8-Jun-17,1400.7,1400.7,1498.5,1382.3,1461,1454,1465.71,596919,874912535.1,21846,142853,23.93
PVR,EQ,9-Jun-17,1454,1465,1479.85,1443,1470,1472.25,1471.65,403598,593954013.5,18344,241292,59.79
PVR,EQ,12-Jun-17,1472.25,1477,1507,1470,1495,1488.95,1492.22,306349,457140136.3,17326,98821,32.26
PVR,EQ,13-Jun-17,1488.95,1490.55,1505,1474,1500,1496.3,1489.41,195198,290729706.2,8620,101610,52.05
PVR,EQ,14-Jun-17,1496.3,1505.5,1550,1490.6,1522,1522.5,1516.74,221887,336544508.4,10671,76207,34.34
PVR,EQ,15-Jun-17,1522.5,1525,1537.2,1515,1522,1523.5,1524.31,108982,166122862.9,5764,36017,33.05
PVR,EQ,16-Jun-17,1523.5,1521.25,1575,1521.25,1569.25,1564.15,1554.11,253525,394006172.3,9899,122687,48.39
PVR,EQ,19-Jun-17,1564.15,1570,1589.95,1545,1563.1,1569.9,1567.24,192244,301291607,11220,63040,32.79
PVR,EQ,20-Jun-17,1569.9,1574,1589.35,1560.6,1576.95,1570.3,1571.39,113049,177643618.9,11747,46220,40.88
PVR,EQ,21-Jun-17,1570.3,1574.75,1601,1571,1581,1581.4,1587.72,281799,447419038,13220,107563,38.17
PVR,EQ,22-Jun-17,1581.4,1583,1593.75,1557.1,1564.9,1563.95,1577.11,84496,133259841.8,6312,33500,39.65
