Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VENKEYS,EQ,15-May-17,1228.4,1167,1244.7,1167,1172,1169.7,1189.59,99659,118553543.4,5436,40813,40.95
VENKEYS,EQ,16-May-17,1169.7,1169.7,1205.65,1135,1183,1177,1172.48,61572,72192111.2,4011,22051,35.81
VENKEYS,EQ,17-May-17,1177,1177,1209.95,1174.2,1188.2,1188,1194.72,60769,72602074.5,2904,17361,28.57
VENKEYS,EQ,18-May-17,1188,1183,1188,1150,1157,1156.9,1169.84,28629,33491372.35,1699,12506,43.68
VENKEYS,EQ,19-May-17,1156.9,1161.7,1181,1141.15,1162,1161.65,1163.78,28520,33191061.35,1538,11738,41.16
VENKEYS,EQ,22-May-17,1161.65,1175,1219.7,1170.5,1219.7,1219.7,1206.08,154509,186350502.9,6350,57108,36.96
VENKEYS,EQ,23-May-17,1219.7,1245,1274,1175,1185,1187.8,1222.03,154425,188711265.5,7111,50785,32.89
VENKEYS,EQ,24-May-17,1187.8,1210,1210,1135.05,1136,1144.9,1160.74,63467,73668595.85,4742,29699,46.79
VENKEYS,EQ,25-May-17,1144.9,1155,1199,1136.1,1182,1181.85,1176.5,77370,91026086.9,4065,30735,39.72
VENKEYS,EQ,26-May-17,1181.85,1192,1240.9,1184.35,1240.9,1240.9,1223.57,96485,118055910.5,4856,45800,47.47
VENKEYS,EQ,29-May-17,1240.9,1279.9,1293.95,1231,1240,1241.9,1261.81,65998,83277189.5,3167,29419,44.58
VENKEYS,EQ,30-May-17,1241.9,1239.7,1239.7,1205.1,1213.5,1212.3,1218.51,25572,31159842.85,1620,13422,52.49
VENKEYS,EQ,31-May-17,1212.3,1225,1251.95,1208.1,1215.25,1213.35,1226.42,35574,43628569.5,3307,19088,53.66
VENKEYS,EQ,1-Jun-17,1213.35,1215.05,1260,1215,1248,1252.65,1238.77,60565,75026371.55,4533,24947,41.19
VENKEYS,EQ,2-Jun-17,1252.65,1252,1264.5,1230,1240,1244.1,1251.5,32026,40080515.5,2692,17703,55.28
VENKEYS,EQ,5-Jun-17,1244.1,1248,1271.9,1230,1248.1,1244.35,1251.35,26062,32612665.2,1802,12102,46.44
VENKEYS,EQ,6-Jun-17,1244.35,1259.8,1290,1249.95,1260.05,1253.45,1270.11,48347,61405775,3403,19760,40.87
VENKEYS,EQ,7-Jun-17,1253.45,1276,1444.95,1275.6,1399,1403.65,1401.59,674986,946052007.5,41169,98033,14.52
VENKEYS,EQ,8-Jun-17,1403.65,1395,1473,1394.9,1431,1427.25,1445.06,328543,474762961.9,18745,58756,17.88
VENKEYS,EQ,9-Jun-17,1427.25,1435,1460,1406.35,1410.7,1414.45,1430.34,146657,209769931.9,8140,31001,21.14
VENKEYS,EQ,12-Jun-17,1414.45,1410.7,1439,1371.2,1396,1392.7,1400.1,103625,145085350.7,9181,35590,34.34
VENKEYS,EQ,13-Jun-17,1392.7,1407,1442.4,1380.1,1387.8,1387.95,1409.59,94132,132687279.2,7544,36500,38.78
VENKEYS,EQ,14-Jun-17,1387.95,1396.65,1414,1370,1391,1385.9,1391.6,65922,91737332.45,3672,28127,42.67
VENKEYS,EQ,15-Jun-17,1385.9,1390,1503,1373,1462.05,1459.65,1462.22,353118,516337865.2,21732,76423,21.64
VENKEYS,EQ,16-Jun-17,1459.65,1472,1499.9,1460,1466,1473.5,1479.38,117632,174022579.2,7809,26268,22.33
VENKEYS,EQ,19-Jun-17,1473.5,1476.5,1482,1440.1,1456.05,1450.55,1455.88,49365,71869719.1,3458,20756,42.05
VENKEYS,EQ,20-Jun-17,1450.55,1450.55,1474.5,1433,1442,1442.95,1452.01,48243,70049272.65,3995,15180,31.47
VENKEYS,EQ,21-Jun-17,1442.95,1430.05,1457.7,1411,1425,1425.35,1432.31,57397,82210531,5945,14797,25.78
VENKEYS,EQ,22-Jun-17,1425.35,1434,1440.05,1380,1411,1405.4,1412.53,49202,69499172.9,4576,21891,44.49
VENKEYS,EQ,23-Jun-17,1405.4,1413.5,1482,1388.95,1469,1466.8,1450.61,217342,315278232.3,13462,54863,25.24
VENKEYS,EQ,27-Jun-17,1466.8,1474.25,1477,1413.25,1421,1420.65,1432.91,39583,56719049,3070,15577,39.35
VENKEYS,EQ,28-Jun-17,1420.65,1401,1446,1401,1432,1433.7,1429.25,44773,63991964.15,3647,10501,23.45
VENKEYS,EQ,29-Jun-17,1433.7,1446.8,1638,1425.2,1632.4,1626.2,1591.75,916188,1458346536,49373,102878,11.23
VENKEYS,EQ,30-Jun-17,1626.2,1635,1730,1632.4,1693.2,1698.65,1693.53,729466,1235371876,38507,71978,9.87
VENKEYS,EQ,3-Jul-17,1698.65,1702.9,1775,1699.95,1775,1755.85,1740.3,351126,611065501.5,18837,56119,15.98
VENKEYS,EQ,4-Jul-17,1755.85,1795,2107,1795,2107,2089.85,1974.23,1969561,3888371837,97172,108947,5.53
VENKEYS,EQ,5-Jul-17,2089.85,2152,2298.8,2151,2298.8,2298.8,2236.53,1727752,3864172937,84307,156059,9.03
VENKEYS,EQ,6-Jul-17,2298.8,2370,2480,2148,2221.85,2237.75,2307.04,2268375,5233224907,138038,242206,10.68
VENKEYS,EQ,7-Jul-17,2237.75,2205.55,2434.7,2152,2394,2403.4,2322.39,1231047,2858975114,74052,146751,11.92
